Nome,Ano de Lançamento,Produtora,País de Origem,Número de Downloads,Multiplayer,Máximo de Jogadores
Aventura nas Ruínas,2023,Pixel Wizards,Canadá,158763,Sim,10
Guerreiros Estelares,2019,NovaTech Studios,Japão,235981,Sim,100
Mistérios de Eldoria,2024,Lunar Games,Reino Unido,95327,Não,1
Roda que Rola,2021,Crazy Ant Studio,Brasil,302198,Sim,4
O Enigma da Torre,2018,Silent Peak,Estados Unidos,187452,Não,1
Fúria dos Dragões,2020,Mythic Tales Inc.,China,214789,Sim,50
Jornada Submarina,2022,Aqua Dream,Austrália,129654,Não,1
Reinos em Guerra,2017,Global Conflict,Coreia do Sul,258963,Sim,25
Eco da Floresta,2025,Green Leaf Games,França,68521,Não,1
Lendas de Aethel,2016,Valiant Heart,Alemanha,196325,Sim,12
Caçadores de Tesouros,2023,Gold Digger Co.,México,112587,Não,1
Batalha Espacial X,2019,Cosmic Frontier,Rússia,247896,Sim,64
Segredos do Templo,2024,Ancient Wisdom,Índia,89632,Não,1
A Corrida Maluca,2021,Speedy Wheels,Argentina,314785,Sim,8
O Chamado da Montanha,2018,High Peak Studio,Suíça,175236,Não,1
Ira dos Titãs,2020,Titan Forge,Grécia,225874,Sim,32
Profundezas Abissais,2022,Oceanic Games,Noruega,136987,Não,1
Conflito Urbano,2017,City Wars Inc.,Espanha,269521,Sim,16
Sussurros do Vento,2025,Windy Tales,Irlanda,75896,Não,1
Heróis de Avalon,2016,Round Table Games,Países Baixos,205879,Sim,20
A Ilha Proibida,2023,Mystery Island,Portugal,105238,Não,1
Guerra nas Estrelas Alpha,2019,Star Command,Suécia,251478,Sim,48
O Labirinto Sombrio,2024,Dark Maze Corp.,Polônia,92147,Não,1
Aventura no Deserto,2021,Sandstorm Games,Egito,308521,Sim,6
O Segredo da Pirâmide,2018,Pharaoh's Code,Itália,182965,Não,1
Fúria Infernal,2020,Hellfire Studios,Hungria,231458,Sim,40
Mares Turbulentos,2022,Salty Seas,Dinamarca,142589,Não,1
Império Galáctico,2017,Galaxy United,Finlândia,275896,Sim,18
Canções da Neve,2025,Snowy Melody,Áustria,82159,Não,1
Cavaleiros de Ébano,2016,Black Knight Inc.,Bélgica,212587,Sim,22
A Floresta Mágica,2023,Magic Woods,República Tcheca,118965,Não,1
Batalha Final Z,2019,Omega Force,Singapura,257894,Sim,56
O Castelo Assombrado,2024,Haunted House,Grécia,98741,Não,1
A Grande Corrida,2021,Fast Lane Games,Canadá,321458,Sim,10
O Tesouro Perdido,2018,Lost Treasure Co.,Japão,192587,Não,1
Ira dos Deuses,2020,Gods of War,Reino Unido,241785,Sim,36
Ilhas Tropicais,2022,Tropical Paradise,Estados Unidos,148963,Não,1
Guerra Mundial III,2017,Global Conflict II,China,281459,Sim,20
Sinfonia da Noite,2025,Night Symphony,Austrália,88521,Não,1
Dragões de Fogo,2016,Fire Dragon Ltd.,Coreia do Sul,218965,Sim,24
O Vale Escondido,2023,Hidden Valley,França,125879,Não,1
Confronto Cósmico,2019,Cosmic Clash,Alemanha,263214,Sim,60
O Farol Misterioso,2024,Lonely Lighthouse,México,102147,Não,1
Aventura na Selva,2021,Jungle Quest,Brasil,328796,Sim,12
O Segredo do Lago,2018,Lake Mystery,Rússia,198523,Não,1
Fúria dos Elementos,2020,Elemental Fury,Índia,248795,Sim,44
Mundos Paralelos,2022,Parallel Worlds Inc.,Reino Unido,152369,Não,1
Guerras Tribais,2017,Tribal Wars,Japão,287415,Sim,22
Melodia da Aurora,2025,Morning Melody,Canadá,95214,Não,1
Lendas de Zaltar,2016,Zaltar Legends,Estados Unidos,225487,Sim,26
O Jardim Secreto,2023,Secret Garden,China,132589,Não,1
Batalha Galáctica,2019,Galactic Battle,Coreia do Sul,271458,Sim,68
O Enigma da Esfinge,2024,Sphinx Riddle,França,108745,Não,1
A Corrida Subterrânea,2021,Underground Race,Alemanha,335896,Sim,14
O Chamado do Oceano,2018,Ocean Call,México,205874,Não,1
Ira da Natureza,2020,Nature's Fury,Brasil,254128,Sim,48
Profundezas Congeladas,2022,Frozen Depths,Rússia,158796,Não,1
Conflito Medieval,2017,Medieval Conflict,Índia,291478,Sim,24
Sussurros da Lua,2025,Moon Whispers,Reino Unido,102589,Não,1
Heróis de Eldoria II,2016,Lunar Games,Japão,232147,Sim,28
A Montanha de Cristal,2023,Crystal Peak,Canadá,138965,Não,1
Guerra nas Nuvens,2019,Sky Wars Inc.,Estados Unidos,278521,Sim,72
O Labirinto de Gelo,2024,Ice Maze Corp.,China,115236,Não,1
Aventura Vulcânica,2021,Volcano Adventure,Coreia do Sul,342158,Sim,16
O Segredo da Floresta,2018,Forest Secret,França,212589,Não,1
Fúria Cósmica,2020,Cosmic Fury,Alemanha,261478,Sim,52
Mares da Fantasia,2022,Fantasy Seas,México,165892,Não,1
Império das Sombras,2017,Shadow Empire,Brasil,298741,Sim,26
Canções do Universo,2025,Universe Songs,Rússia,108965,Não,1
Cavaleiros da Alvorada,2016,Dawn Knights,Índia,238521,Sim,30
A Ilha dos Piratas,2023,Pirate Island,Reino Unido,145238,Não,1
Batalha Estelar II,2019,Star Command,Japão,285147,Sim,76
O Castelo Mal-Assombrado,2024,Evil Castle,Canadá,121478,Não,1
A Grande Fuga,2021,Great Escape Games,Estados Unidos,348796,Sim,18
O Tesouro Amaldiçoado,2018,Cursed Treasure Co.,China,218965,Não,1
Ira dos Vulcões,2020,Volcano Fury,Coreia do Sul,267412,Sim,56
Ilhas Flutuantes,2022,Floating Islands,França,172589,Não,1
Guerra Mundial IV,2017,Global Conflict III,Alemanha,305896,Sim,28
Sinfonia Estelar,2025,Star Symphony,México,115236,Não,1
Dragões de Gelo,2016,Ice Dragon Ltd.,Brasil,245879,Sim,32
O Vale dos Reis,2023,Kings Valley,Rússia,152147,Não,1
Confronto Galáctico II,2019,Cosmic Clash,Índia,291478,Sim,80
O Farol da Tempestade,2024,Storm Lighthouse,Reino Unido,128745,Não,1
Aventura na Cidade,2021,City Adventure,Japão,352148,Sim,20
O Segredo da Montanha,2018,Mountain Secret,Canadá,225896,Não,1
Fúria da Tempestade,2020,Storm Fury,Estados Unidos,274158,Sim,60
Mundos de Cristal,2022,Crystal Worlds Inc.,China,178963,Não,1
Guerras de Clãs,2017,Clan Wars,Coreia do Sul,312589,Sim,30
Melodia da Lua,2025,Moon Melody,França,121458,Não,1
Lendas de Nárnia,2016,Narnia Tales,Alemanha,251478,Sim,34
O Jardim Encantado,2023,Enchanted Garden,México,158796,Não,1
Batalha Espacial III,2019,Omega Force,Brasil,298521,Sim,84
O Enigma do Farol,2024,Lighthouse Riddle,Rússia,135896,Não,1
A Corrida Espacial,2021,Space Race Games,Índia,358741,Sim,22
O Chamado da Selva,2018,Jungle Call,Reino Unido,232145,Não,1
Ira dos Mares,2020,Sea Fury,Japão,281459,Sim,64
